"REF_DATE","GEO","DGUID","Tenure including social and affordable housing","Housing suitability and dwelling condition","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Ontario","2021A000235","Total, tenure","Suitable","Percentage of households","Percent","239","units","0","v1594712934","25.1.2.4","93.6","","","","1"
"2022","Ontario","2021A000235","Total, tenure","Suitable","Percentage of households","Percent","239","units","0","v1594712934","25.1.2.4","93.4","","","","1"
"2018","Ontario","2021A000235","Total, tenure","Not suitable","Number of households","Number","223","units","0","v1594712914","25.1.3.1","342500","","","","0"
"2021","Ontario","2021A000235","Total, tenure","Not suitable","Number of households","Number","223","units","0","v1594712914","25.1.3.1","363200","","","","0"
"2022","Ontario","2021A000235","Total, tenure","Not suitable","Number of households","Number","223","units","0","v1594712914","25.1.3.1","383400","","","","0"
"2018","Ontario","2021A000235","Total, tenure","Not suitable","Percentage of households","Percent","239","units","0","v1594712935","25.1.3.4","6.2","","","","1"
"2021","Ontario","2021A000235","Total, tenure","Not suitable","Percentage of households","Percent","239","units","0","v1594712935","25.1.3.4","6.4","","","","1"
"2022","Ontario","2021A000235","Total, tenure","Not suitable","Percentage of households","Percent","239","units","0","v1594712935","25.1.3.4","6.6","","","","1"
"2018","Ontario","2021A000235","Total, tenure","Total, dwelling condition","Number of households","Number","223","units","0","v1594712915","25.1.4.1","5496500","","","","0"
"2021","Ontario","2021A000235","Total, tenure","Total, dwelling condition","Number of households","Number","223","units","0","v1594712915","25.1.4.1","5694300","","","","0"
"2022","Ontario","2021A000235","Total, tenure","Total, dwelling condition","Number of households","Number","223","units","0","v1594712915","25.1.4.1","5836100","","","","0"
"2018","Ontario","2021A000235","Total, tenure","Total, dwelling condition","Percentage of households","Percent","239","units","0","v1594712936","25.1.4.4","100.0","","","","1"
"2021","Ontario","2021A000235","Total, tenure","Total, dwelling condition","Percentage of households","Percent","239","units","0","v1594712936","25.1.4.4","100.0","","","","1"
"2022","Ontario","2021A000235","Total, tenure","Total, dwelling condition","Percentage of households","Percent","239","units","0","v1594712936","25.1.4.4","100.0","","","","1"
"2018","Ontario","2021A000235","Total, tenure","Regular maintenance needed","Number of households","Number","223","units","0","v1594712916","25.1.5.1","3946500","","","","0"
"2021","Ontario","2021A000235","Total, tenure","Regular maintenance needed","Number of households","Number","223","units","0","v1594712916","25.1.5.1","4049100","","","","0"
"2022","Ontario","2021A000235","Total, tenure","Regular maintenance needed","Number of households","Number","223","units","0","v1594712916","25.1.5.1","4116500","","","","0"
