businessoperator,detailurl,streetnumber,street,totaloutstanding,totalunits,geom,geolocalarea,geo_point_2d,violation_rate,city
Mighty Atom Holdings Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=203&street=E%206TH%20AVENUE,203,E 6TH AVENUE,1,17.0,"{""coordinates"":[-123.10037627,49.26564177],""type"":""Point""}",Mount Pleasant,"49.26564177, -123.10037627",0.05882352595155729,Vancouver
262109 B C Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=801&street=E%206TH%20AVENUE,801,E 6TH AVENUE,8,188.0,"{""coordinates"":[-123.08625103,49.26561196],""type"":""Point""}",Mount Pleasant,"49.26561196, -123.08625103",0.04255319126301494,Vancouver
Brightside Community Homes Foundation,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1620&street=E%206TH%20AVENUE,1620,E 6TH AVENUE,1,41.0,"{""coordinates"":[-123.0713509,49.26471876],""type"":""Point""}",Grandview-Woodland,"49.26471876, -123.0713509",0.024390243307555043,Vancouver
MML Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=677&street=E%207TH%20AVENUE,677,E 7TH AVENUE,1,42.0,"{""coordinates"":[-123.08980404,49.26458388],""type"":""Point""}",Mount Pleasant,"49.26458388, -123.08980404",0.0238095232426304,Vancouver
Joseph Seccia & Mario Seccia,http://app.vancouver.ca/RPS_Net/Default.aspx?num=727&street=E%207TH%20AVENUE,727,E 7TH AVENUE,1,38.0,"{""coordinates"":[-123.0884632,49.26457098],""type"":""Point""}",Mount Pleasant,"49.26457098, -123.0884632",0.026315788781163457,Vancouver
Acona Investments Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=537&street=E%207TH%20AVENUE,537,E 7TH AVENUE,4,9.0,"{""coordinates"":[-123.09207801,49.26460098],""type"":""Point""}",Mount Pleasant,"49.26460098, -123.09207801",0.44444439506173394,Vancouver
R Markham,http://app.vancouver.ca/RPS_Net/Default.aspx?num=611&street=E%207TH%20AVENUE,611,E 7TH AVENUE,1,106.0,"{""coordinates"":[-123.09038875,49.26458658],""type"":""Point""}",Mount Pleasant,"49.26458658, -123.09038875",0.0094339621751513,Vancouver
Ludvik Rener & Anna Rener,http://app.vancouver.ca/RPS_Net/Default.aspx?num=454&street=E%208TH%20AVENUE,454,E 8TH AVENUE,1,15.0,"{""coordinates"":[-123.09405744,49.2631961],""type"":""Point""}",Mount Pleasant,"49.2631961, -123.09405744",0.06666666222222252,Vancouver
John Koenig,http://app.vancouver.ca/RPS_Net/Default.aspx?num=680&street=E%208TH%20AVENUE,680,E 8TH AVENUE,3,35.0,"{""coordinates"":[-123.08977805,49.26316401],""type"":""Point""}",Mount Pleasant,"49.26316401, -123.08977805",0.0857142832653062,Vancouver
C B T Holdings Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=156&street=E%208TH%20AVENUE,156,E 8TH AVENUE,4,12.0,"{""coordinates"":[-123.10142785,49.26354412],""type"":""Point""}",Mount Pleasant,"49.26354412, -123.10142785",0.3333333055555579,Vancouver
BC Indigenous Housing Society,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1330&street=E%208TH%20AVENUE,1330,E 8TH AVENUE,1,36.0,"{""coordinates"":[-123.07666847,49.263058],""type"":""Point""}",Grandview-Woodland,"49.263058, -123.07666847",0.027777777006172864,Vancouver
Jan Friedman,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1629&street=E%2010TH%20AVENUE,1629,E 10TH AVENUE,1,8.0,"{""coordinates"":[-123.07100231,49.26163547],""type"":""Point""}",Kensington-Cedar Cottage,"49.26163547, -123.07100231",0.12499998437500197,Vancouver
Kensington Court Apts Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=425&street=E%2011TH%20AVENUE,425,E 11TH AVENUE,1,57.0,"{""coordinates"":[-123.0955488,49.26092575],""type"":""Point""}",Mount Pleasant,"49.26092575, -123.0955488",0.017543859341335802,Vancouver
YWCA,http://app.vancouver.ca/RPS_Net/Default.aspx?num=1975&street=E%2012TH%20AVENUE,1975,E 12TH AVENUE,2,29.0,"{""coordinates"":[-123.06448489,49.25978589],""type"":""Point""}",Kensington-Cedar Cottage,"49.25978589, -123.06448489",0.06896551486325811,Vancouver
Van Center Management Inc,http://app.vancouver.ca/RPS_Net/Default.aspx?num=44&street=E%2013TH%20AVENUE,44,E 13TH AVENUE,1,51.0,"{""coordinates"":[-123.10421593,49.25906153],""type"":""Point""}",Mount Pleasant,"49.25906153, -123.10421593",0.0196078427527874,Vancouver
Tracys Properties Ltd,http://app.vancouver.ca/RPS_Net/Default.aspx?num=275&street=E%2013TH%20AVENUE,275,E 13TH AVENUE,1,23.0,"{""coordinates"":[-123.09924046,49.25953447],""type"":""Point""}",Mount Pleasant,"49.25953447, -123.09924046",0.04347825897920613,Vancouver
